gem_id,gem_parent_id,concept_set_id,concepts,target,references
common_gen-validation-0,common_gen-validation-0,0,"['field', 'look', 'stand']",The player stood in the field looking at the batter.,"['The player stood in the field looking at the batter.', 'The coach stands along the field, looking at the goalkeeper.', 'I stood and looked across the field, peacefully.', 'Someone stands, looking around the empty field.']"
common_gen-validation-1,common_gen-validation-1,1,"['dance', 'kid', 'room']",The silly kid loves to dance in her room.,"['The silly kid loves to dance in her room.', 'the dance kid  room is full of kids', 'A kid is dancing in the room.', 'A group of kids are dancing around a living room.']"
common_gen-validation-2,common_gen-validation-2,2,"['cat', 'couch', 'pet']",A pet cat likes to sleep on a couch.,"['A pet cat likes to sleep on a couch.', 'My pet cat love to sleep on the couch.', 'The woman pet the cat that was sat on the couch.', 'actor petting long haired gray cat on couch']"
common_gen-validation-3,common_gen-validation-3,3,"['building', 'climb', 'side']",The mouse climbed the side of the building.,"['The mouse climbed the side of the building.', 'I climbed the side of the building.', 'A girl climbs up the side of a building.', 'ivy climbs the side of a building .']"
common_gen-validation-4,common_gen-validation-4,4,"['climb', 'talk', 'wall']",The woman thats talking teaches her students how to climb the wall.,"['The woman thats talking teaches her students how to climb the wall.', 'The person climbed up the wall to talk to the man.', 'The man talked about how to climb walls.', 'A man is talking in front of a climbing wall.']"
common_gen-validation-5,common_gen-validation-5,5,"['car', 'drive', 'snow']",The car drove through the snow.,"['The car drove through the snow.', ""The woman couldn't drive her car in the snow."", 'The car drove threw the snow.', 'driving a car in snow']"
common_gen-validation-6,common_gen-validation-6,6,"['phone', 'talk', 'wear']",The boy wants to wear earpods as he talks on his phone.,"['The boy wants to wear earpods as he talks on his phone.', 'I continued to talk on phone while wearing my shoes.', 'A man wearing glasses talking on a phone']"
common_gen-validation-7,common_gen-validation-7,7,"['hockey', 'rink', 'team']",The team practiced hockey at the outdoor rink.,"['The team practiced hockey at the outdoor rink.', 'The team plays hockey on the rink.', 'The hockey team practiced in the ice rink.', 'Two teams are playing hockey in a hockey rink.']"
common_gen-validation-8,common_gen-validation-8,8,"['ocean', 'surf', 'surfer']",the ocean is where surfers go to surf,"['the ocean is where surfers go to surf', 'The boy went to the ocean to surf and after awhile became a full blown surfer.', 'A surfer surfing in the ocean.']"
common_gen-validation-9,common_gen-validation-9,9,"['flight', 'jump', 'stair']",A boy jumps up a flight of stairs taking two at a time.,"['A boy jumps up a flight of stairs taking two at a time.', 'The boys jump down the flight of stairs.', 'A lady had to jump up the stairs so she wouldnt miss her flight.', 'A dog jumps down a flight of stairs.']"
common_gen-validation-10,common_gen-validation-10,10,"['band', 'instrument', 'music']",The school band played their instruments in unison rendering a sweet music.,"['The school band played their instruments in unison rendering a sweet music.', 'Bands use instruments to make music.', 'The band brought their instruments so they could play music.', 'A band playing some music with their instruments.']"
common_gen-validation-11,common_gen-validation-11,11,"['circle', 'sit', 'talk']",The students sit in a circle as the teacher talks.,"['The students sit in a circle as the teacher talks.', 'We sat in a circle and talked.', 'We sat in a circle and talked.', 'Four young males sitting in a circle talking.']"
common_gen-validation-12,common_gen-validation-12,12,"['eye', 'look', 'move']","I quickly moved back, while still looking into the eyes of the stranger.","['I quickly moved back, while still looking into the eyes of the stranger.', 'My eye moves around looking for the bird.', 'The eyes move to look around.', 'A woman looks at the camera and moves her eyes individually.']"
common_gen-validation-13,common_gen-validation-13,13,"['look', 'watch', 'window']",He looked at his watch and then out of the window.,"['He looked at his watch and then out of the window.', 'The young girl looks out the window to watch the snow fall.', 'The cat was looking out the window watching the people.', 'Two people looking out the window watching radars.']"
common_gen-validation-14,common_gen-validation-14,14,"['athlete', 'prepare', 'run']",The athlete performs stretches as they prepare to run.,"['The athlete performs stretches as they prepare to run.', 'The athlete prepares to run the race.', 'The athlete is preparing to run the 1000 metre track race.', 'An athlete prepare to run.']"
common_gen-validation-15,common_gen-validation-15,15,"['gear', 'walk', 'wear']",The hiker bought new gear to wear for the walk to the waterfall.,"['The hiker bought new gear to wear for the walk to the waterfall.', 'The hiker has lots of gear to wear while walking.', 'A man wears a backpack with hiking gear as he walks to the trail.', 'A person wearing gear walking in the snow.']"
common_gen-validation-16,common_gen-validation-16,16,"['give', 'speech', 'stage']",The man on stage is giving a speech.,"['The man on stage is giving a speech.', 'The mayor is giving a speech on the stage.', 'The man gave a speech on the stage.', 'A man on a stage giving a speech.']"
